,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,33850,GAM-,2310-2,PLAY,Mystery Note 1,Hear  CDE followed by one of the notes.  Play note on the onscreen keyboard,,2310,T,,,,,,L,,
,33900,GAM-,2310-3,QUIZ,Mystery Note 1 (Not available),Hear  CDE followed by one of the notes.  Play note on the onscreen keyboard,,2310,T,,,,,,L,,
,39350,GAM-,2310-5,REVIEW,Mystery Note 1,Hear  CDE followed by one of the notes.  Play note on the onscreen keyboard,,2310,T,,,,,,L,,
,46450,GAM-,2330-1,LEARN,MIDI Mystery Triads 1,"See the root and play the Major triad on a MIDI keyboard. C,G,F,D,A,E",,2330,T,M,,,,,L,,
,46500,GAM-,2330-2,PLAY,MIDI Mystery Triads 1,"See the root and play the Major triad on a MIDI keyboard. C,G,F,D,A,E",,2330,T,M,,,,,L,,
,46550,GAM-,2330-3,QUIZ,MIDI Mystery Triads 1,"See the root and play the Major triad on a MIDI keyboard. C,G,F,D,A,E",,2330,T,M,,,,,L,,
,11100,GAM-,2350-1,LEARN,Note Balloons 1,Identify Treble CDEFG,,2350,T,,,,,,L,,
,11150,GAM-,2350-2,PLAY,Note Balloons 1,Identify Treble CDEFG,,2350,T,,,,,,L,,
,11200,GAM-,2350-3,QUIZ,Note Balloons 1,Identify Treble CDEFG,,2350,T,,,,,,L,,
,14100,GAM-,2370-1,LEARN,Note Balloons 2,Identify Treble & Bass CDEFG ,,2370,T,,,,,,L,,
,14150,GAM-,2370-2,PLAY,Note Balloons 2,Identify Treble & Bass CDEFG ,,2370,T,,,,,,L,,
,14200,GAM-,2370-3,QUIZ,Note Balloons 2,Identify Treble & Bass CDEFG ,,2370,T,,,,,,L,,
,14700,GAM-,2450-1,LEARN,MIDI Note Rockets 1,Read and play notes from the Middle C pentascale,,2450,T,M,,,,,L,,
,14750,GAM-,2450-2,PLAY,MIDI Note Rockets 1,Read and play notes from the Middle C pentascale,,2450,T,M,,,,,L,,
,14800,GAM-,2450-3,QUIZ,MIDI Note Rockets 1,Read and play notes from the Middle C pentascale,,2450,T,M,,,,,L,,
,17550,GAM-,2450-5,REVIEW,MIDI Note Rockets 1,Read and play notes from the Middle C pentascale,,2450,T,M,,,,,L,,
,15500,GAM-,2460-1,LEARN,MIDI Note Rockets 2,Read and play notes from the bass C pentascale,,2460,T,M,,,,,L,,
,15550,GAM-,2460-2,PLAY,MIDI Note Rockets 2,Read and play notes from the bass C pentascale,,2460,T,M,,,,,L,,
,15600,GAM-,2460-3,QUIZ,MIDI Note Rockets 2,Read and play notes from the bass C pentascale,,2460,T,M,,,,,L,,
,17600,GAM-,2460-5,REVIEW,MIDI Note Rockets 2,Read and play notes from the bass C pentascale,,2460,T,M,,,,,L,,
,23950,GAM-,2470-1,LEARN,MIDI Note Rockets 3,Read and play notes from the bass G pentascale,,2470,T,M,,,,,L,,
,24000,GAM-,2470-2,PLAY,MIDI Note Rockets 3,Read and play notes from the bass G pentascale,,2470,T,M,,,,,L,,
,24050,GAM-,2470-3,QUIZ,MIDI Note Rockets 3,Read and play notes from the bass G pentascale,,2470,T,M,,,,,L,,
,26600,GAM-,2470-5,REVIEW,MIDI Note Rockets 3,Read and play notes from the bass G pentascale,,2470,T,M,,,,,L,,
,10350,GAM-,2510-1,LEARN,Page Turner Keyboard 1,Read and play the notes of the C Major pentascale-Middle CDEFG,,2510,T,,,,,,L,X,
,10400,GAM-,2510-2,PLAY,Page Turner Keyboard 1,Read and play the notes of the C Major pentascale-Middle CDEFG,,2510,T,,,,,,L,X,
,10450,GAM-,2510-3,QUIZ,Page Turner Keyboard 1,Read and play the notes of the C Major pentascale-Middle CDEFG,,2510,T,,,,,,L,X,ADD CHALLENGE
,11400,GAM-,2550-1,LEARN,Page Turner Keyboard 2,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2550,T,,,,,,L,X,
,11450,GAM-,2550-2,PLAY,Page Turner Keyboard 2,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2550,T,,,,,,L,X,
,11500,GAM-,2550-3,QUIZ,Page Turner Keyboard 2,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2550,T,,,,,,L,X,
,11550,GAM-,2550-4,CHALLENGE,Page Turner Keyboard 2,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2550,T,,,,,,L,X,
,17150,GAM-,2550-5,REVIEW,Page Turner Keyboard 2,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2550,T,,,,,,L,X,
,10800,GAM-,2590-1,LEARN,Page Turner Keyboard 3,Read and play the notes Middle CBAGF ,,2590,T,,,,,,L,X,
,10850,GAM-,2590-2,PLAY,Page Turner Keyboard 3,Read and play the notes Middle CBAGF ,,2590,T,,,,,,L,X,
,10900,GAM-,2590-3,QUIZ,Page Turner Keyboard 3,Read and play the notes Middle CBAGF ,,2590,T,,,,,,L,X,
,20750,GAM-,2590-5,REVIEW,Page Turner Keyboard 3,Read and play the notes Middle CBAGF ,,2590,T,,,,,,L,X,
,21500,GAM-,2620-1,LEARN,Page Turner Keyboard 4,Read and play the notes of the Treble G Major pentascale-GABCD,,2620,T,,,,,,L,X,
,21550,GAM-,2620-2,PLAY,Page Turner Keyboard 4,Read and play the notes of the Treble G Major pentascale-GABCD,,2620,T,,,,,,L,X,
,21600,GAM-,2620-3,QUIZ,Page Turner Keyboard 4,Read and play the notes of the Treble G Major pentascale-GABCD,,2620,T,,,,,,L,X,
,23350,GAM-,2640-1,LEARN,Page Turner Keyboard 5,Read and play the notes of the Bass G Major pentascale-GABCD,,2640,T,,,,,,L,X,
,23400,GAM-,2640-2,PLAY,Page Turner Keyboard 5,Read and play the notes of the Bass G Major pentascale-GABCD,,2640,T,,,,,,L,X,
,23450,GAM-,2640-3,QUIZ,Page Turner Keyboard 5,Read and play the notes of the Bass G Major pentascale-GABCD,,2640,T,,,,,,L,X,
,26050,GAM-,2640-5,REVIEW,Page Turner Keyboard 5,Read and play the notes of the Bass G Major pentascale-GABCD,,2640,T,,,,,,L,X,
,27350,GAM-,2660-1,LEARN,Page Turner Keyboard 6,Read and play the notes of the middle G Major pentascale-GABCD,,2660,T,,,,,,L,X,
,27400,GAM-,2660-2,PLAY,Page Turner Keyboard 6,Read and play the notes of the middle G Major pentascale-GABCD,,2660,T,,,,,,L,X,
,27450,GAM-,2660-3,QUIZ,Page Turner Keyboard 6,Read and play the notes of the middle G Major pentascale-GABCD,,2660,T,,,,,,L,X,
,29200,GAM-,2660-5,REVIEW,Page Turner Keyboard 6,Read and play the notes of the middle G Major pentascale-GABCD,,2660,T,,,,,,L,X,
,10350,GAM-,2520-1,LEARN,Page Turner Keyboard 1 S,Read and play the notes of the C Major pentascale-Middle CDEFG,,2520,T,,,,,,,X,
,10400,GAM-,2520-2,PLAY,Page Turner Keyboard 1 S,Read and play the notes of the C Major pentascale-Middle CDEFG,,2520,T,,,,,,,X,
,10450,GAM-,2520-3,QUIZ,Page Turner Keyboard 1 S,Read and play the notes of the C Major pentascale-Middle CDEFG,,2520,T,,,,V,,,X,
,11400,GAM-,2560-1,LEARN,Page Turner Keyboard 2 S,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2560,T,,,,,,,X,
,11450,GAM-,2560-2,PLAY,Page Turner Keyboard 2 S,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2560,T,,,,,,,X,
,11500,GAM-,2560-3,QUIZ,Page Turner Keyboard 2 S,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2560,T,,,,,,,X,
,11550,GAM-,2560-4,CHALLENGE,Page Turner Keyboard 2 S,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2560,T,,,,,,,X,
,17150,GAM-,2560-5,REVIEW,Page Turner Keyboard 2 S,Read and play the notes of the C Major pentascale-Bass CDEFG ,,2560,T,,,,,,,X,
,21500,GAM-,2630-1,LEARN,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,,,,,
,21550,GAM-,2630-2,PLAY,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,,,,,
,21600,GAM-,2630-3,QUIZ,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,V,,,,
,23350,GAM-,2650-1,LEARN,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,,,
,23400,GAM-,2650-2,PLAY,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,,,
,23450,GAM-,2650-3,QUIZ,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,,,
,26050,GAM-,2650-5,REVIEW,Page Turner 5 S,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,,,
,27350,GAM-,2670-1,LEARN,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,,,
,27400,GAM-,2667-2,PLAY,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,,,
,27450,GAM-,2670-3,QUIZ,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,,,
,29200,GAM-,2660-5,REVIEW,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,,,
,10650,GAM-,2540-1,LEARN,MIDI Page Turner 1,Read and play notes from the Middle C pentascale,,2540,T,M,,,,,L,,
,10700,GAM-,2540-2,PLAY,MIDI Page Turner 1,Read and play notes from the Middle C pentascale,,2540,T,M,,,,,L,,
,10750,GAM-,2540-3,QUIZ,MIDI Page Turner 1,Read and play notes from the Middle C pentascale,,2540,T,M,,,,,L,,
,11800,GAM-,2580-1,LEARN,MIDI Page Turner 2,Read and play notes from the Bass C pentascale,,2580,T,M,,,,,L,,
,11850,GAM-,2580-2,PLAY,MIDI Page Turner 2,Read and play notes from the Bass C pentascale,,2580,T,M,,,,,L,,
,11900,GAM-,2580-3,QUIZ,MIDI Page Turner 2,Read and play notes from the Bass C pentascale,,2580,T,M,,,,,L,,
,11950,GAM-,2580-4,CHALLENGE,MIDI Page Turner 2,Read and play notes from the Bass C pentascale,,2580,T,M,,,,,L,,
,17500,GAM-,2580-5,REVIEW,MIDI Page Turner 2,Read and play notes from the Bass C pentascale,,2580,T,M,,,,,L,,
,11600,GAM-,2610-1,LEARN,MIDI Page Turner 3,Read and play the notes Middle C down to F ,,2610,T,M,,,,,L,,
,11650,GAM-,2610-2,PLAY,MIDI Page Turner 3,Read and play the notes Middle C down to F ,,2610,T,M,,,,,L,,
,11700,GAM-,2610-3,QUIZ,MIDI Page Turner 3,Read and play the notes Middle C down to F ,,2610,T,M,,,,,L,,
,11750,GAM-,2610-4,CHALLENGE,MIDI Page Turner 3,Read and play the notes Middle C down to F ,,2610,T,M,,,,,L,,
,20800,GAM-,2610-5,REVIEW,MIDI Page Turner 3,Read and play the notes Middle C down to F ,,2610,T,M,,,,,L,,
,10650,GAM-,2530-1,LEARN,Page Turner 1 S,Read and play notes from the Middle C pentascale,,2530,T,,,,,,L,,
,10700,GAM-,2530-2,PLAY,Page Turner 1 S,Read and play notes from the Middle C pentascale,,2530,T,,,,,,L,,
,10750,GAM-,2530-3,QUIZ,Page Turner 1 S,Read and play notes from the Middle C pentascale,,2530,T,,,,V,,L,,
,11800,GAM-,2570-1,LEARN,Page Turner 2 S,Read and play notes from the Bass C pentascale,,2570,T,,,,,,L,,
,11850,GAM-,2570-2,PLAY,Page Turner 2 S,Read and play notes from the Bass C pentascale,,2570,T,,,,,,L,,
,11900,GAM-,2570-3,QUIZ,Page Turner 2 S,Read and play notes from the Bass C pentascale,,2570,T,,,,,,L,,
,11950,GAM-,2570-4,CHALLENGE,Page Turner 2 S,Read and play notes from the Bass C pentascale,,2570,T,,,,,,L,,
,17500,GAM-,2570-5,REVIEW,Page Turner 2 S,Read and play notes from the Bass C pentascale,,2570,T,,,,,,L,,
,11600,GAM-,2600-1,LEARN,Page Turner 3 S,Read and play the notes Middle C down to F ,,2600,T,,,,,,L,,
,11650,GAM-,2600-2,PLAY,Page Turner 3 S,Read and play the notes Middle C down to F ,,2600,T,,,,,,L,,
,11700,GAM-,2600-3,QUIZ,Page Turner 3 S,Read and play the notes Middle C down to F ,,2600,T,,,,,,L,,
,11750,GAM-,2600-4,CHALLENGE,Page Turner 3 S,Read and play the notes Middle C down to F ,,2600,T,,,,,,L,,
,20800,GAM-,2600-5,REVIEW,MIDI Page Turner 3 S,Read and play the notes Middle C down to F ,,2600,T,,,,,,L,,
,21500,GAM-,2630-1,LEARN,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,,,L,,
,21550,GAM-,2630-2,PLAY,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,,,L,,
,21600,GAM-,2630-3,QUIZ,Page Turner 4 S,Read and play the notes of the Treble G Major pentascale-GABCD,,2630,T,,,,V,,L,,
,23350,GAM-,2650-1,LEARN,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,L,,
,23400,GAM-,2650-2,PLAY,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,L,,
,23450,GAM-,2650-3,QUIZ,Page Turner 5 6,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,L,,
,26050,GAM-,2650-5,REVIEW,Page Turner 5 S,Read and play the notes of the Bass G Major pentascale-GABCD,,2650,T,,,,,,L,,
,27350,GAM-,2670-1,LEARN,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,L,,
,27400,GAM-,2667-2,PLAY,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,L,,
,27450,GAM-,2670-3,QUIZ,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,L,,
,29200,GAM-,2660-5,REVIEW,Page Turner 6 S,Read and play the notes of the middle G Major pentascale-GABCD,,2670,T,,,,,,L,,
,10200,GAM-,2680-1,LEARN,Page Turner Letters 1,Name the notes of the Middle C Pentascale ,,2680,T,,,,,,L,,
,10250,GAM-,2680-2,PLAY,Page Turner Letters 1,Name the notes of the Middle C Pentascale ,,2680,T,,,,,,L,,
,10300,GAM-,2680-3,QUIZ,Page Turner Letters 1,Name the notes of the Middle C Pentascale ,,2680,T,,,,,,L,,
,12250,GAM-,2680-5,REVIEW,Page Turner Letters 1,Name the notes of the Middle C Pentascale ,,2680,T,,,,,,L,,
,11250,GAM-,2690-1,LEARN,Page Turner Letters 2,Name the notes of the Bass C Pentascale ,,2690,T,,,,,,L,,
,11300,GAM-,2690-2,PLAY,Page Turner Letters 2,Name the notes of the Bass C Pentascale ,,2690,T,,,,,,L,,
,11350,GAM-,2690-3,QUIZ,Page Turner Letters 2,Name the notes of the Bass C Pentascale ,,2690,T,,,,,,L,,
,12300,GAM-,2690-5,REVIEW,Page Turner Letters 2,Name the notes of the Bass C Pentascale ,,2690,T,,,,,,L,,
,09050,GAM-,2700-1,LEARN,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,09100,GAM-,2700-2,PLAY,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,09150,GAM-,2700-3,QUIZ,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,09200,GAM-,2700-4,CHALLENGE,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,16600,GAM-,2700-1,LEARN,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,16650,GAM-,2700-2,PLAY,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,16700,GAM-,2700-3,QUIZ,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,16750,GAM-,2700-4,CHALLENGE,Page Turner Letters 3,Name the treble staff spaces,,2700,T,,,,,,L,,
,09550,GAM-,2710-1,LEARN,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,09600,GAM-,2710-2,PLAY,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,09650,GAM-,2710-3,QUIZ,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,09700,GAM-,2710-4,CHALLENGE,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,16800,GAM-,2710-1,LEARN,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,16850,GAM-,2710-2,PLAY,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,16900,GAM-,2710-3,QUIZ,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,16950,GAM-,2710-4,CHALLENGE,Page Turner Letters 4,Name the treble staff lines,,2710,T,,,,,,L,,
,19500,GAM-,2720-1,LEARN,Page Turner Letters 5,Name the bass staff spaces,,2720,T,,,,,,L,,
,19550,GAM-,2720-2,PLAY,Page Turner Letters 5,Name the bass staff spaces,,2720,T,,,,,,L,,
,19600,GAM-,2720-3,QUIZ,Page Turner Letters 5,Name the bass staff spaces,,2720,T,,,,,,L,,
,19650,GAM-,2720-4,CHALLENGE,Page Turner Letters 5,Name the bass staff spaces,,2720,T,,,,,,L,,
,19700,GAM-,2730-1,LEARN,Page Turner Letters 6,Name the bass staff lines,,2730,T,,,,,,L,,
,19750,GAM-,2730-2,PLAY,Page Turner Letters 6,Name the bass staff lines,,2730,T,,,,,,L,,
,19800,GAM-,2730-3,QUIZ,Page Turner Letters 6,Name the bass staff lines,,2730,T,,,,,,L,,
,19850,GAM-,2730-4,CHALLENGE,Page Turner Letters 6,Name the bass staff lines,,2730,T,,,,,,L,,
,20600,GAM-,2740-1,LEARN,Page Turner Letters 7,Name the notes of the treble C pentascale,,2740,T,,,,,,L,,
,20650,GAM-,2740-2,PLAY,Page Turner Letters 7,Name the notes of the treble C pentascale,,2740,T,,,,,,L,,
,20700,GAM-,2740-3,QUIZ,Page Turner Letters 7,Name the notes of the treble C pentascale,,2740,T,,,,,,L,,
,23300,GAM-,2740-5,REVIEW,Page Turner Letters 7,Name the notes of the treble C pentascale,,2740,T,,,,,,L,,
,17000,GAM-,2750-1,LEARN,MIDI Pattern Flashes 1,Sightreading patterns in the Middle C pentascale with 2nds and 3rds,,2750,T,M,,,,,L,,
,17050,GAM-,2750-2,PLAY,MIDI Pattern Flashes 1,Sightreading patterns in the Middle C pentascale with 2nds and 3rds,,2750,T,M,,,,,L,,
,17100,GAM-,2750-3,QUIZ,MIDI Pattern Flashes 1,Sightreading patterns in the Middle C pentascale with 2nds and 3rds,,2750,T,M,,,,,L,,
,23150,GAM-,2750-5,REVIEW,MIDI Pattern Flashes 1,Sightreading patterns in the Middle C pentascale with 2nds and 3rds,,2750,T,M,,,,,L,,
,18600,GAM-,2760-1,LEARN,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,18650,GAM-,2760-2,PLAY,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,18700,GAM-,2760-3,QUIZ,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,23900,GAM-,2760-5,REVIEW,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,33950,GAM-,2760-1,LEARN,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,34000,GAM-,2760-2,PLAY,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,34050,GAM-,2760-3,QUIZ,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,40200,GAM-,2760-5,REVIEW,MIDI Pattern Flashes 2,Sightreading patterns in the bass C pentascale with 2nds and 3rds,,2760,T,M,,,,,L,,
,15200,GAM-,2770-1,LEARN,Pattern Reading 1,Read & play Steps and Repeats (treble pitches) ,,2770,T,,,,,,L,,
,15250,GAM-,2770-2,PLAY,Pattern Reading 1,Read & play Steps and Repeats (treble pitches) ,,2770,T,,,,,,L,,
,15300,GAM-,2770-3,QUIZ,Pattern Reading 1,Read & play Steps and Repeats (treble pitches) ,,2770,T,,,,,,L,,
,21450,GAM-,2770-5,REVIEW,Pattern Reading 1,Read & play Steps and Repeats (treble pitches) ,,2770,T,,,,,,L,,
,16000,GAM-,2790-1,LEARN,Pattern Reading 2,Read & play Steps and Repeats (bass pitches) ,,2790,T,,,,,,L,,
,16050,GAM-,2790-2,PLAY,Pattern Reading 2,Read & play Steps and Repeats (bass pitches) ,,2790,T,,,,,,L,,
,16100,GAM-,2790-3,QUIZ,Pattern Reading 2,Read & play Steps and Repeats (bass pitches) ,,2790,T,,,,,,L,,
,22250,GAM-,2790-5,REVIEW,Pattern Reading 2,Read & play Steps and Repeats (bass pitches) ,,2790,T,,,,,,L,,
,27650,GAM-,2810-1,LEARN,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,27700,GAM-,2810-2,PLAY,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,27750,GAM-,2810-3,QUIZ,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,29900,GAM-,2810-5,REVIEW,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,35050,GAM-,2810-1,LEARN,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,35100,GAM-,2810-2,PLAY,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,35150,GAM-,2810-3,QUIZ,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,41650,GAM-,2810-6,REV2,Pentascale Toolbox 1,Visually identify Major pentascales starting on white keys,,2810,T,,,,,,L,,
,44500,GAM-,2820-1,LEARN,Pentascale Toolbox 2,Visually identify C G F D Major and minor pentascales ,,2820,T,,,,,,L,,
,44550,GAM-,2820-2,PLAY,Pentascale Toolbox 2,Visually identify C G F D Major and minor pentascales ,,2820,T,,,,,,L,,
,44600,GAM-,2820-3,QUIZ,Pentascale Toolbox 2,Visually identify C G F D Major and minor pentascales ,,2820,T,,,,,,L,,
,45300,GAM-,2830-1,LEARN,Pentascale Toolbox 3,Visually identify D A E F Major and minor pentascales ,,2830,T,,,,,,L,,
,45350,GAM-,2830-2,PLAY,Pentascale Toolbox 3,Visually identify D A E F Major and minor pentascales ,,2830,T,,,,,,L,,
,45400,GAM-,2830-3,QUIZ,Pentascale Toolbox 3,Visually identify D A E F Major and minor pentascales ,,2830,T,,,,,,L,,
,31600,GAM-,2840-1,LEARN,Pick the Pattern 1,See two 4-note pitch patterns with 2nds & 3rds and tell which one was played,,2840,T,,,,,,L,,
,31650,GAM-,2840-2,PLAY,Pick the Pattern 1,See two 4-note pitch patterns with 2nds & 3rds and tell which one was played,,2840,T,,,,,,L,,
,31700,GAM-,2840-3,QUIZ,Pick the Pattern 1,See two 4-note pitch patterns with 2nds & 3rds and tell which one was played,,2840,T,,,,,,L,,
,38900,GAM-,2840-5,REVIEW,Pick the Pattern 1,See two 4-note pitch patterns with 2nds & 3rds and tell which one was played,,2840,T,,,,,,L,,
,54450,GAM-,2850-1,LEARN,Pick the Pattern 2,See three 4-note pitch patterns with steps & skips and tell which one was played,,2850,T,,,,,,L,,
,54500,GAM-,2850-2,PLAY,Pick the Pattern 2,See three 4-note pitch patterns with steps & skips and tell which one was played,,2850,T,,,,,,L,,
,54550,GAM-,2850-3,QUIZ,Pick the Pattern 2,See three 4-note pitch patterns with steps & skips and tell which one was played,,2850,T,,,,,,L,,
